timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 16:25:21.417, 5 %, 4 %, 5851 MiB, 12288 MiB, 40, 14.21 W
2026/01/19 16:25:22.420, 86 %, 75 %, 5875 MiB, 12288 MiB, 47, 66.73 W
2026/01/19 16:25:23.421, 83 %, 73 %, 5867 MiB, 12288 MiB, 48, 115.40 W
2026/01/19 16:25:24.422, 86 %, 75 %, 5878 MiB, 12288 MiB, 49, 115.97 W
2026/01/19 16:25:25.423, 85 %, 75 %, 5878 MiB, 12288 MiB, 49, 112.72 W
2026/01/19 16:25:26.424, 85 %, 74 %, 5873 MiB, 12288 MiB, 50, 115.03 W
2026/01/19 16:25:27.431, 84 %, 74 %, 5834 MiB, 12288 MiB, 50, 115.41 W
2026/01/19 16:25:28.447, 85 %, 75 %, 5834 MiB, 12288 MiB, 51, 115.31 W
2026/01/19 16:25:29.453, 81 %, 70 %, 5915 MiB, 12288 MiB, 50, 114.30 W
2026/01/19 16:25:30.458, 86 %, 75 %, 5914 MiB, 12288 MiB, 51, 113.16 W
2026/01/19 16:25:31.463, 84 %, 74 %, 5897 MiB, 12288 MiB, 52, 117.36 W
2026/01/19 16:25:32.472, 20 %, 17 %, 5841 MiB, 12288 MiB, 48, 106.78 W
2026/01/19 16:25:33.480, 0 %, 0 %, 5853 MiB, 12288 MiB, 47, 44.55 W
2026/01/19 16:25:34.490, 0 %, 0 %, 5844 MiB, 12288 MiB, 46, 39.79 W
2026/01/19 16:25:35.501, 1 %, 0 %, 5844 MiB, 12288 MiB, 45, 26.54 W
2026/01/19 16:25:36.508, 3 %, 2 %, 5842 MiB, 12288 MiB, 44, 22.52 W
2026/01/19 16:25:37.514, 3 %, 2 %, 5823 MiB, 12288 MiB, 44, 14.94 W
2026/01/19 16:25:38.523, 4 %, 4 %, 5823 MiB, 12288 MiB, 44, 14.70 W
2026/01/19 16:25:39.532, 4 %, 6 %, 5844 MiB, 12288 MiB, 44, 14.49 W
2026/01/19 16:25:40.547, 5 %, 4 %, 5845 MiB, 12288 MiB, 44, 14.61 W
2026/01/19 16:25:41.553, 3 %, 3 %, 5845 MiB, 12288 MiB, 44, 14.98 W
2026/01/19 16:25:42.570, 4 %, 6 %, 5842 MiB, 12288 MiB, 44, 14.69 W
2026/01/19 16:25:43.745, 5 %, 4 %, 5834 MiB, 12288 MiB, 44, 14.41 W
2026/01/19 16:25:44.775, 7 %, 5 %, 5845 MiB, 12288 MiB, 44, 14.53 W
2026/01/19 16:25:45.804, 8 %, 5 %, 5846 MiB, 12288 MiB, 44, 14.51 W
2026/01/19 16:25:46.817, 4 %, 6 %, 5843 MiB, 12288 MiB, 44, 14.38 W
2026/01/19 16:25:47.824, 5 %, 5 %, 5835 MiB, 12288 MiB, 44, 14.23 W
2026/01/19 16:25:48.829, 6 %, 9 %, 5835 MiB, 12288 MiB, 44, 14.18 W
2026/01/19 16:25:49.832, 7 %, 5 %, 5845 MiB, 12288 MiB, 44, 14.54 W
2026/01/19 16:25:50.833, 7 %, 7 %, 5845 MiB, 12288 MiB, 44, 14.45 W
2026/01/19 16:25:51.835, 5 %, 5 %, 5843 MiB, 12288 MiB, 44, 14.83 W
2026/01/19 16:25:52.837, 3 %, 6 %, 5835 MiB, 12288 MiB, 43, 14.53 W
2026/01/19 16:25:53.839, 3 %, 7 %, 5835 MiB, 12288 MiB, 44, 14.50 W
