timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 16:26:19.376, 87 %, 76 %, 5844 MiB, 12288 MiB, 55, 118.92 W
2026/01/19 16:26:20.378, 0 %, 0 %, 5846 MiB, 12288 MiB, 51, 57.12 W
2026/01/19 16:26:21.380, 0 %, 0 %, 5825 MiB, 12288 MiB, 50, 42.95 W
2026/01/19 16:26:22.382, 3 %, 0 %, 5825 MiB, 12288 MiB, 49, 26.86 W
2026/01/19 16:26:23.399, 3 %, 0 %, 5825 MiB, 12288 MiB, 48, 25.67 W
2026/01/19 16:26:24.400, 4 %, 2 %, 5844 MiB, 12288 MiB, 48, 20.43 W
2026/01/19 16:26:25.401, 3 %, 2 %, 5844 MiB, 12288 MiB, 48, 15.90 W
2026/01/19 16:26:26.404, 3 %, 3 %, 5821 MiB, 12288 MiB, 47, 15.08 W
2026/01/19 16:26:27.406, 3 %, 4 %, 5821 MiB, 12288 MiB, 47, 14.79 W
2026/01/19 16:26:28.409, 4 %, 4 %, 5821 MiB, 12288 MiB, 47, 14.76 W
2026/01/19 16:26:29.410, 4 %, 4 %, 5832 MiB, 12288 MiB, 47, 14.98 W
2026/01/19 16:26:30.412, 4 %, 4 %, 5829 MiB, 12288 MiB, 47, 15.03 W
2026/01/19 16:26:31.414, 3 %, 3 %, 5828 MiB, 12288 MiB, 47, 15.01 W
2026/01/19 16:26:32.416, 3 %, 3 %, 5828 MiB, 12288 MiB, 47, 14.97 W
2026/01/19 16:26:33.418, 5 %, 6 %, 5842 MiB, 12288 MiB, 47, 15.04 W
2026/01/19 16:26:34.420, 3 %, 3 %, 5843 MiB, 12288 MiB, 47, 14.87 W
2026/01/19 16:26:35.421, 3 %, 3 %, 5839 MiB, 12288 MiB, 47, 14.66 W
2026/01/19 16:26:36.422, 4 %, 8 %, 5831 MiB, 12288 MiB, 47, 14.78 W
2026/01/19 16:26:37.424, 3 %, 12 %, 5831 MiB, 12288 MiB, 47, 14.57 W
2026/01/19 16:26:38.426, 3 %, 5 %, 5826 MiB, 12288 MiB, 47, 14.58 W
2026/01/19 16:26:39.428, 4 %, 11 %, 5818 MiB, 12288 MiB, 47, 14.47 W
2026/01/19 16:26:40.435, 4 %, 5 %, 5818 MiB, 12288 MiB, 47, 14.40 W
2026/01/19 16:26:41.437, 4 %, 8 %, 5818 MiB, 12288 MiB, 47, 14.55 W
2026/01/19 16:26:42.438, 8 %, 7 %, 5843 MiB, 12288 MiB, 47, 14.78 W
2026/01/19 16:26:43.567, 5 %, 5 %, 5843 MiB, 12288 MiB, 47, 14.79 W
2026/01/19 16:26:44.571, 91 %, 63 %, 5842 MiB, 12288 MiB, 50, 24.74 W
