timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 17:56:48.627, 87 %, 76 %, 11305 MiB, 12288 MiB, 59, 123.20 W
2026/01/20 17:56:49.646, 82 %, 72 %, 11305 MiB, 12288 MiB, 59, 121.70 W
2026/01/20 17:56:50.673, 84 %, 75 %, 11304 MiB, 12288 MiB, 59, 123.56 W
2026/01/20 17:56:51.711, 87 %, 68 %, 11304 MiB, 12288 MiB, 59, 127.23 W
2026/01/20 17:56:52.736, 82 %, 73 %, 11304 MiB, 12288 MiB, 59, 124.88 W
2026/01/20 17:56:53.768, 85 %, 69 %, 11304 MiB, 12288 MiB, 59, 126.40 W
2026/01/20 17:56:54.793, 84 %, 66 %, 11304 MiB, 12288 MiB, 59, 126.27 W
2026/01/20 17:56:55.825, 86 %, 69 %, 11304 MiB, 12288 MiB, 59, 126.82 W
2026/01/20 17:56:56.851, 79 %, 69 %, 11304 MiB, 12288 MiB, 59, 123.88 W
2026/01/20 17:56:57.882, 85 %, 75 %, 11304 MiB, 12288 MiB, 59, 127.19 W
2026/01/20 17:56:58.907, 86 %, 69 %, 11304 MiB, 12288 MiB, 59, 126.87 W
2026/01/20 17:56:59.940, 85 %, 75 %, 11304 MiB, 12288 MiB, 59, 126.11 W
2026/01/20 17:57:00.966, 89 %, 70 %, 11304 MiB, 12288 MiB, 59, 126.64 W
2026/01/20 17:57:01.997, 84 %, 74 %, 11304 MiB, 12288 MiB, 59, 125.64 W
2026/01/20 17:57:03.023, 84 %, 74 %, 11304 MiB, 12288 MiB, 59, 126.46 W
2026/01/20 17:57:04.055, 83 %, 73 %, 11304 MiB, 12288 MiB, 59, 127.10 W
2026/01/20 17:57:05.686, 88 %, 78 %, 11304 MiB, 12288 MiB, 59, 126.22 W
2026/01/20 17:57:06.719, 88 %, 68 %, 11304 MiB, 12288 MiB, 59, 125.78 W
2026/01/20 17:57:07.744, 86 %, 76 %, 11304 MiB, 12288 MiB, 59, 126.97 W
2026/01/20 17:57:08.777, 85 %, 76 %, 11304 MiB, 12288 MiB, 59, 125.72 W
2026/01/20 17:57:09.802, 85 %, 68 %, 11304 MiB, 12288 MiB, 59, 123.81 W
2026/01/20 17:57:10.835, 84 %, 75 %, 11304 MiB, 12288 MiB, 59, 123.12 W
