timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/20 18:21:50.204, 10 %, 9 %, 11200 MiB, 12288 MiB, 42, 15.06 W
2026/01/20 18:21:51.212, 0 %, 5 %, 11196 MiB, 12288 MiB, 42, 13.51 W
2026/01/20 18:21:52.217, 0 %, 8 %, 11196 MiB, 12288 MiB, 42, 13.83 W
2026/01/20 18:21:53.224, 1 %, 24 %, 11201 MiB, 12288 MiB, 42, 13.38 W
2026/01/20 18:21:54.231, 0 %, 23 %, 11201 MiB, 12288 MiB, 42, 13.14 W
2026/01/20 18:21:55.237, 0 %, 4 %, 11201 MiB, 12288 MiB, 42, 13.14 W
2026/01/20 18:21:56.243, 0 %, 14 %, 11200 MiB, 12288 MiB, 42, 13.29 W
2026/01/20 18:21:57.256, 0 %, 5 %, 11204 MiB, 12288 MiB, 42, 14.63 W
2026/01/20 18:21:58.264, 2 %, 6 %, 11199 MiB, 12288 MiB, 42, 13.06 W
2026/01/20 18:21:59.271, 10 %, 17 %, 11203 MiB, 12288 MiB, 42, 14.15 W
2026/01/20 18:22:00.277, 13 %, 10 %, 11203 MiB, 12288 MiB, 43, 13.52 W
2026/01/20 18:22:01.334, 0 %, 0 %, 11212 MiB, 12288 MiB, 44, 39.17 W
2026/01/20 18:22:02.339, 0 %, 0 %, 11212 MiB, 12288 MiB, 44, 39.46 W
2026/01/20 18:22:03.349, 0 %, 0 %, 11212 MiB, 12288 MiB, 44, 39.49 W
2026/01/20 18:22:04.355, 0 %, 2 %, 11212 MiB, 12288 MiB, 43, 29.61 W
2026/01/20 18:22:05.405, 0 %, 18 %, 11212 MiB, 12288 MiB, 43, 14.28 W
2026/01/20 18:22:06.413, 1 %, 10 %, 11220 MiB, 12288 MiB, 42, 13.49 W
2026/01/20 18:22:07.419, 2 %, 4 %, 11214 MiB, 12288 MiB, 42, 13.64 W
2026/01/20 18:22:08.426, 0 %, 3 %, 11214 MiB, 12288 MiB, 42, 13.30 W
2026/01/20 18:22:09.435, 0 %, 3 %, 11214 MiB, 12288 MiB, 42, 13.10 W
2026/01/20 18:22:11.199, 0 %, 4 %, 11214 MiB, 12288 MiB, 42, 12.92 W
2026/01/20 18:22:12.206, 0 %, 6 %, 11213 MiB, 12288 MiB, 42, 12.99 W
2026/01/20 18:22:13.214, 3 %, 4 %, 11212 MiB, 12288 MiB, 42, 13.15 W
2026/01/20 18:22:14.220, 2 %, 8 %, 11212 MiB, 12288 MiB, 42, 13.27 W
2026/01/20 18:22:15.227, 1 %, 16 %, 11212 MiB, 12288 MiB, 42, 13.11 W
2026/01/20 18:22:16.235, 6 %, 15 %, 11273 MiB, 12288 MiB, 42, 13.47 W
2026/01/20 18:22:17.253, 0 %, 12 %, 11274 MiB, 12288 MiB, 42, 13.23 W
2026/01/20 18:22:18.259, 0 %, 3 %, 11273 MiB, 12288 MiB, 42, 13.09 W
2026/01/20 18:22:19.265, 0 %, 4 %, 11274 MiB, 12288 MiB, 42, 13.32 W
2026/01/20 18:22:20.271, 0 %, 9 %, 11217 MiB, 12288 MiB, 42, 13.87 W
2026/01/20 18:22:21.296, 3 %, 4 %, 11192 MiB, 12288 MiB, 42, 14.31 W
2026/01/20 18:22:22.305, 16 %, 12 %, 11193 MiB, 12288 MiB, 42, 14.35 W
2026/01/20 18:22:23.313, 0 %, 5 %, 11185 MiB, 12288 MiB, 42, 13.30 W
2026/01/20 18:22:24.319, 0 %, 3 %, 11188 MiB, 12288 MiB, 42, 13.17 W
2026/01/20 18:22:25.337, 0 %, 13 %, 11188 MiB, 12288 MiB, 42, 13.05 W
2026/01/20 18:22:26.345, 19 %, 14 %, 11177 MiB, 12288 MiB, 42, 14.01 W
2026/01/20 18:22:27.352, 0 %, 3 %, 11176 MiB, 12288 MiB, 42, 13.02 W
2026/01/20 18:22:28.371, 16 %, 6 %, 11210 MiB, 12288 MiB, 42, 14.67 W
2026/01/20 18:22:29.378, 4 %, 5 %, 11208 MiB, 12288 MiB, 42, 13.44 W
2026/01/20 18:22:30.385, 0 %, 12 %, 11208 MiB, 12288 MiB, 42, 13.35 W
2026/01/20 18:22:31.408, 4 %, 5 %, 11208 MiB, 12288 MiB, 42, 14.80 W
2026/01/20 18:22:32.427, 2 %, 20 %, 11208 MiB, 12288 MiB, 42, 13.84 W
2026/01/20 18:22:33.433, 0 %, 11 %, 11199 MiB, 12288 MiB, 42, 15.11 W
2026/01/20 18:22:34.443, 9 %, 34 %, 11209 MiB, 12288 MiB, 42, 14.72 W
2026/01/20 18:22:35.450, 3 %, 33 %, 11203 MiB, 12288 MiB, 42, 13.36 W
2026/01/20 18:22:36.471, 2 %, 31 %, 11267 MiB, 12288 MiB, 42, 14.07 W
2026/01/20 18:22:37.489, 1 %, 27 %, 11264 MiB, 12288 MiB, 42, 14.38 W
2026/01/20 18:22:38.497, 1 %, 30 %, 11280 MiB, 12288 MiB, 42, 13.81 W
2026/01/20 18:22:39.505, 8 %, 6 %, 11277 MiB, 12288 MiB, 42, 14.30 W
2026/01/20 18:22:40.512, 4 %, 16 %, 11275 MiB, 12288 MiB, 42, 13.92 W
2026/01/20 18:22:42.297, 0 %, 26 %, 11271 MiB, 12288 MiB, 42, 13.13 W
2026/01/20 18:22:43.305, 1 %, 20 %, 11223 MiB, 12288 MiB, 42, 13.31 W
2026/01/20 18:22:44.313, 2 %, 16 %, 11221 MiB, 12288 MiB, 42, 13.33 W
2026/01/20 18:22:45.319, 1 %, 20 %, 11219 MiB, 12288 MiB, 42, 13.23 W
2026/01/20 18:22:46.329, 5 %, 20 %, 11277 MiB, 12288 MiB, 42, 13.96 W
2026/01/20 18:22:47.335, 1 %, 9 %, 11277 MiB, 12288 MiB, 42, 13.24 W
