timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 20:01:16.994, 7 %, 16 %, 11441 MiB, 12288 MiB, 35, 13.45 W
2026/01/19 20:01:18.002, 4 %, 5 %, 11442 MiB, 12288 MiB, 36, 13.73 W
2026/01/19 20:01:19.003, 1 %, 5 %, 11464 MiB, 12288 MiB, 35, 13.49 W
2026/01/19 20:01:20.012, 98 %, 76 %, 11474 MiB, 12288 MiB, 40, 22.85 W
2026/01/19 20:01:21.018, 88 %, 58 %, 11474 MiB, 12288 MiB, 43, 116.84 W
2026/01/19 20:01:22.025, 84 %, 75 %, 11460 MiB, 12288 MiB, 44, 122.04 W
2026/01/19 20:01:23.027, 83 %, 74 %, 11459 MiB, 12288 MiB, 45, 122.83 W
2026/01/19 20:01:24.035, 82 %, 72 %, 11457 MiB, 12288 MiB, 45, 123.96 W
2026/01/19 20:01:25.036, 89 %, 59 %, 11456 MiB, 12288 MiB, 46, 123.38 W
2026/01/19 20:01:26.037, 84 %, 74 %, 11454 MiB, 12288 MiB, 46, 122.69 W
2026/01/19 20:01:27.038, 80 %, 71 %, 11451 MiB, 12288 MiB, 46, 121.81 W
2026/01/19 20:01:28.039, 82 %, 72 %, 11446 MiB, 12288 MiB, 47, 113.44 W
2026/01/19 20:01:29.040, 0 %, 0 %, 11438 MiB, 12288 MiB, 42, 44.82 W
2026/01/19 20:01:30.041, 1 %, 0 %, 11438 MiB, 12288 MiB, 40, 39.32 W
