timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/01/19 19:06:03.957, 4 %, 10 %, 6009 MiB, 12288 MiB, 36, 13.35 W
2026/01/19 19:06:04.959, 5 %, 5 %, 6012 MiB, 12288 MiB, 36, 13.94 W
2026/01/19 19:06:06.000, 31 %, 22 %, 6014 MiB, 12288 MiB, 36, 14.71 W
2026/01/19 19:06:07.009, 77 %, 77 %, 6014 MiB, 12288 MiB, 43, 84.69 W
2026/01/19 19:06:08.015, 85 %, 85 %, 5928 MiB, 12288 MiB, 43, 118.02 W
2026/01/19 19:06:09.020, 78 %, 78 %, 5934 MiB, 12288 MiB, 43, 114.79 W
2026/01/19 19:06:10.024, 78 %, 77 %, 5933 MiB, 12288 MiB, 45, 115.39 W
2026/01/19 19:06:11.029, 81 %, 82 %, 5927 MiB, 12288 MiB, 45, 118.25 W
2026/01/19 19:06:12.032, 74 %, 75 %, 5926 MiB, 12288 MiB, 45, 117.94 W
2026/01/19 19:06:13.034, 79 %, 79 %, 5925 MiB, 12288 MiB, 46, 115.90 W
2026/01/19 19:06:14.036, 88 %, 87 %, 5926 MiB, 12288 MiB, 46, 120.82 W
2026/01/19 19:06:15.037, 81 %, 81 %, 5926 MiB, 12288 MiB, 48, 123.51 W
2026/01/19 19:06:16.038, 86 %, 86 %, 5926 MiB, 12288 MiB, 48, 123.87 W
2026/01/19 19:06:17.047, 84 %, 85 %, 5925 MiB, 12288 MiB, 48, 122.21 W
2026/01/19 19:06:18.047, 86 %, 87 %, 5924 MiB, 12288 MiB, 49, 124.12 W
2026/01/19 19:06:19.053, 79 %, 80 %, 5925 MiB, 12288 MiB, 49, 121.42 W
2026/01/19 19:06:20.054, 84 %, 85 %, 5925 MiB, 12288 MiB, 49, 120.68 W
2026/01/19 19:06:21.060, 88 %, 89 %, 5925 MiB, 12288 MiB, 50, 122.50 W
2026/01/19 19:06:22.065, 89 %, 89 %, 5914 MiB, 12288 MiB, 51, 125.84 W
2026/01/19 19:06:23.073, 85 %, 86 %, 5914 MiB, 12288 MiB, 51, 125.14 W
2026/01/19 19:06:24.074, 79 %, 79 %, 5924 MiB, 12288 MiB, 51, 123.89 W
